"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: capacityPowerOf2","Param: library","Param: load","Param: loadFactor"
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.057866,0.042008,"s/op",18,WORM,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.013735,0.028479,"s/op",18,WORM,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.048923,0.029862,"s/op",18,WORM,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.105228,0.018855,"s/op",18,WORM,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.072991,0.013138,"s/op",18,WORM,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.119816,0.029562,"s/op",18,WORM,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.108971,0.015937,"s/op",18,WORM_LARGE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.151121,0.031479,"s/op",18,WORM_LARGE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.179165,0.041279,"s/op",18,WORM_LARGE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.199627,0.017056,"s/op",18,WORM_LARGE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.257815,0.032566,"s/op",18,WORM_LARGE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.246432,0.017542,"s/op",18,WORM_LARGE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.100592,0.028202,"s/op",18,WORM_LARGE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.234108,0.027352,"s/op",19,HPPC,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.287259,0.013066,"s/op",19,HPPC,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.358747,0.034047,"s/op",19,HPPC,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.407853,0.016624,"s/op",19,HPPC,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.416798,0.010219,"s/op",19,HPPC,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.517114,0.079697,"s/op",19,HPPC,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.577770,0.054002,"s/op",19,HPPC,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.155941,0.010576,"s/op",19,HPPC_SCATTER,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.232967,0.013837,"s/op",19,HPPC_SCATTER,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.256097,0.022340,"s/op",19,HPPC_SCATTER,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.308672,0.027976,"s/op",19,HPPC_SCATTER,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.362209,0.050532,"s/op",19,HPPC_SCATTER,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.413661,0.046189,"s/op",19,HPPC_SCATTER,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.458582,0.021981,"s/op",19,HPPC_SCATTER,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.081557,0.018769,"s/op",19,FASTUTIL,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.180577,0.043749,"s/op",19,FASTUTIL,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.198306,0.019161,"s/op",19,FASTUTIL,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.256250,0.018417,"s/op",19,FASTUTIL,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.313988,0.026975,"s/op",19,FASTUTIL,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.446261,0.023599,"s/op",19,FASTUTIL,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.371047,0.036253,"s/op",19,FASTUTIL,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.134845,0.013376,"s/op",19,KOLOBOKE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.154848,0.024547,"s/op",19,KOLOBOKE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.228273,0.035416,"s/op",19,KOLOBOKE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.294253,0.021611,"s/op",19,KOLOBOKE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.307695,0.032168,"s/op",19,KOLOBOKE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.372878,0.027237,"s/op",19,KOLOBOKE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.445924,0.048101,"s/op",19,KOLOBOKE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.964201,0.013678,"s/op",19,WORM,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,0.994335,0.027512,"s/op",19,WORM,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.027287,0.068294,"s/op",19,WORM,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.038802,0.022250,"s/op",19,WORM,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.066922,0.019633,"s/op",19,WORM,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.088728,0.017902,"s/op",19,WORM,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.114192,0.022633,"s/op",19,WORM,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.113522,0.037733,"s/op",19,WORM_LARGE,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.146354,0.023509,"s/op",19,WORM_LARGE,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.198272,0.018982,"s/op",19,WORM_LARGE,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.204306,0.015184,"s/op",19,WORM_LARGE,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.230341,0.011005,"s/op",19,WORM_LARGE,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.273109,0.021251,"s/op",19,WORM_LARGE,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.138400,0.035434,"s/op",19,WORM_LARGE,0.74,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.262754,0.036990,"s/op",20,HPPC,0.45,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.349833,0.044823,"s/op",20,HPPC,0.5,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.365575,0.039863,"s/op",20,HPPC,0.55,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.422438,0.029818,"s/op",20,HPPC,0.6,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.483573,0.054364,"s/op",20,HPPC,0.65,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.543039,0.026002,"s/op",20,HPPC,0.7,0.75
"com.carrotsearch.hppc.benchmarks.B006_HashSet_Contains_Random.contains","ss",1,5,1.605838,0.022770,"s/op",20,HPPC,0.74,0.75
